Category,2012-13,2013-14,2014-15,2015-16,2016-17
Andhra Pradesh ,0.39,5.54,8.64,11,11.62
AruNaNNNchal Pradesh,1.65,8.05,9.68,3,NaN
Assam,2.45,4.68,7.63,NaN,NaN
Bihar,3.69,4.21,13.28,7.19,NaN
Chhattisgarh,4.53,9.73,7.49,NaN,NaN
Goa,-14.62,-13.81,9.67,NaN,NaN
Gujarat,11.98,7.51,8.49,NaN,NaN
HaryaNaNNN,6.73,8.57,5.47,NaN,NaN
Himachal Pradesh,6.58,7.56,7.46,NaN,NaN
Jammu & Kashmir,-0.31,5.8,-1.42,NaN,NaN
Jharkhand,8.84,0.72,12.71,13.34,NaN
KarNaNNNtaka,5.79,10.15,7.39,7.24,NaN
Kerala,6.28,4.62,7.95,NaN,NaN
Madhya Pradesh,8.59,4.9,4.93,7.61,12.46
Maharashtra,6.23,6.15,5.34,NaN,NaN
Manipur,0.05,8.81,6.89,NaN,NaN
Meghalaya,1.64,0.4,1.8,6.48,6.68
Mizoram,6.75,14.56,6.6,NaN,NaN
NaNNNgaland,5.09,11.36,1.4,NaN,NaN
Odisha,5.07,7.15,5.58,5.96,8.14
Punjab,5.26,6.6,4.65,NaN,NaN
Rajasthan,3.34,6.08,6.13,NaN,NaN
Sikkim,2.34,6.21,6.06,6.38,NaN
Tamil NaNNNdu,4.59,4.99,6.77,9.19,8.13
TelangaNaNNN,2.63,4.75,8.87,9.46,10.32
Tripura,8.26,9.36,9.51,NaN,NaN
Uttar Pradesh,3.89,5.67,6.34,7.17,NaN
Uttarakhand,7.64,7.43,4.41,8.73,NaN
West Bengal1,NaN,NaN,NaN,NaN,NaN
Andaman & Nicobar Islands,4.5,7.52,10.2,NaN,NaN
Chandigarh,8.01,7.31,9.35,10.59,NaN
Delhi,6.19,6.36,7.53,8.6,8.09
Puducherry,2.29,11.16,6.44,8.6,9.04
India,4.95,6.25,7.09,7.97,7.17
