Category,2012-13,2013-14,2014-15,2015-16,2016-17
Andhra Pradesh ,0.32,6.96,8.51,10.96,11.61
AruNaNchal Pradesh,2.14,9.29,9.66,3.12,NaN
Assam,2.91,4.88,7.88,NaN,NaN
Bihar,3.93,4.98,13.02,7.14,NaN
Chhattisgarh,4.97,9.82,7.57,NaN,NaN
Goa,-15.38,-11.94,9.64,NaN,NaN
Gujarat,10.89,7.56,7.8,NaN,NaN
HaryaNaN,7.74,8.18,5.72,NaN,NaN
Himachal Pradesh,6.41,7.06,7.47,NaN,NaN
Jammu & Kashmir,2.89,6.23,-0.31,NaN,NaN
Jharkhand,8.17,1.57,12.47,12.14,NaN
KarNaNtaka,6.2,10.51,7.29,7.27,NaN
Kerala,6.5,3.89,7.31,NaN,NaN
Madhya Pradesh,11.38,3.62,5.44,7.97,12.21
Maharashtra,6.61,6.24,5.76,NaN,NaN
Manipur,0.54,8.71,6.48,NaN,NaN
Meghalaya,2.19,1.83,2.06,6.41,6.65
Mizoram,7.15,16.21,6.59,NaN,NaN
NaNgaland,5.09,11.13,2.09,NaN,NaN
Odisha,4.61,8.73,6,6.01,7.94
Punjab,5.32,6.32,4.92,NaN,NaN
Rajasthan,4.24,6.07,6.11,NaN,NaN
Sikkim,2.29,6.07,6.34,6.51,NaN
Tamil NaNdu,4.85,6.89,6.94,8.79,7.94
TelangaNaN,2.74,5.58,8.74,9.53,10.1
Tripura,8.67,9.32,9.94,NaN,NaN
Uttar Pradesh,4.26,6.4,6.3,7.13,NaN
Uttarakhand,7.24,8.23,5,8.7,NaN
West Bengal1,NaN,NaN,NaN,NaN,NaN
Andaman & Nicobar Islands,4.45,8.32,7.5,NaN,NaN
Chandigarh,7.98,8.04,9.26,10.28,NaN
Delhi,6.62,6.87,7.97,8.82,8.26
Puducherry,2.93,10.74,6.56,7.73,7.49
India,5.48,6.54,7.18,7.93,7.11
